Date,Close,Volume,,Date,Weighted_Sentiment,Simple_Avg_Sentiment,Close,Vol
2023/6/9,26480.375,11015551640,,2025/2/12,-0.003752345,-0.004878049,97885.85938,49340445530
2023/6/10,25851.24023,19872933189,,2025/2/11,-0.010005905,-0.009092878,95747.42969,37488783272
2023/6/11,25940.16797,10732609603,,2025/2/10,-0.009090648,-0.009704063,97437.55469,40078962391
2023/6/12,25902.5,11677889997,,2025/2/9,0.001362547,-0.003777676,96500.09375,27732901800
2023/6/13,25918.72852,14143474486,,2025/2/8,-0.003313989,-0.002897681,96482.45313,22447526395
2023/6/14,25124.67578,14265717766,,2025/2/7,-0.007863577,-0.002020362,96529.08594,55741290456
2023/6/15,25576.39453,15837384409,,2025/2/6,-0.013672259,-0.00241381,96593.29688,45302471947
2023/6/16,26327.46289,16324646965,,2025/2/5,0.002173441,-0.004096522,96615.44531,49125911241
2023/6/17,26510.67578,11090276850,,2025/2/4,0.007369431,-0.003018334,97871.82031,73002130211
2023/6/18,26336.21289,9565695129,,2025/2/3,0.005907576,-0.005273633,101405.4219,1.15401E+11
2023/6/19,26851.0293,12826986222,,2025/2/2,0.011263523,-0.003827807,97688.97656,63091816853
2023/6/20,28327.48828,22211859147,,2025/2/1,0.042265795,0.04754902,100655.9063,27757944848
2023/6/21,30027.29688,33346760979,,2025/1/31,-0.004625223,-0.00478416,102405.0234,45732764360
2023/6/22,29912.28125,20653160491,,2025/1/30,-0.004292682,-0.005410568,104735.3047,41915744521
2023/6/23,30695.46875,24115570085,,2025/1/29,-0.008215345,-0.004509586,103703.2109,47432049818
2023/6/24,30548.69531,12147822496,,2025/1/28,-0.000693541,-0.001020481,101332.4766,47180685494
2023/6/25,30480.26172,12703464114,,2025/1/27,-0.008840862,-0.013199371,102087.6875,89006608428
2023/6/26,30271.13086,16493186997,,2025/1/26,0.003189246,-0.002355636,102682.5,22543395879
2023/6/27,30688.16406,16428827944,,2025/1/25,-0.009796835,-0.009865445,104714.6484,23888996502
2023/6/28,30086.24609,14571500779,,2025/1/24,-0.008469118,-0.008975983,104819.4844,52388229265
2023/6/29,30445.35156,13180860821,,2025/1/23,-0.016560305,-0.013354344,103960.1719,1.04105E+11
2023/6/30,30477.25195,26387306197,,2025/1/22,-0.033779079,-0.008010732,103653.0703,53878181052
2023/7/1,30590.07813,9086606733,,2025/1/21,-0.010907863,-0.006583473,106146.2656,88733878242
2023/7/2,30620.76953,10533418042,,2025/1/20,0.01191961,-0.004217558,102016.6641,1.2628E+11
2023/7/3,31156.43945,15271884873,,2025/1/19,-0.008106512,-0.008104302,101089.6094,76789928525
2023/7/4,30777.58203,12810828427,,2025/1/18,0.005555597,-0.004130309,104408.0703,50445655726
2023/7/5,30514.16602,12481622280,,2025/1/16,0.017391304,0.017391304,99756.90625,54103781805
2023/7/6,29909.33789,21129219509,,2025/1/15,-0.006546503,-0.004094769,100504.4922,57805923627
2023/7/7,30342.26563,13384770155,,2025/1/14,-0.008725262,-0.006422629,96534.04688,53769675818
2023/7/8,30292.54102,7509378699,,2025/1/13,-0.00714318,-0.003547985,94516.52344,72978998252
2023/7/9,30171.23438,7903327692,,2025/1/12,0.014985124,0.003379862,94488.4375,20885130965
2023/7/10,30414.4707,14828209155,,2025/1/11,-0.014832136,-0.009028765,94566.59375,18860894100
2023/7/11,30620.95117,12151839152,,2025/1/10,0.001141704,-0.008695319,94701.45313,62058693684
2023/7/12,30391.64648,14805659717,,2025/1/9,-0.008928619,-0.006960463,92484.03906,62777261693
2023/7/13,31476.04883,23686079548,,2025/1/8,-0.006057413,-0.009331734,95043.52344,63875859171
2023/7/14,30334.06836,20917902660,,2025/1/7,-0.004168573,-0.001540332,96922.70313,58685738547
2023/7/15,30295.80664,8011667756,,2025/1/6,0.004072366,-0.005107549,102078.0859,51823432705
2023/7/16,30249.13281,8516564470,,2025/1/5,-0.005317367,-0.012973797,98314.96094,20525254825
2023/7/17,30145.88867,13240156074,,2025/1/4,-0.00168197,-0.014240799,98236.22656,22342608078
2023/7/18,29856.5625,13138897269,,2025/1/3,-0.000367753,-0.00064248,98107.42969,35611391163
2023/7/19,29913.92383,12128602812,,2025/1/2,-0.004632326,-0.005641608,96886.875,46009564411
2023/7/20,29792.01563,14655207121,,2025/1/1,-0.000273571,-0.006121314,94419.75781,24519888919
2023/7/21,29908.74414,10972789818,,2024/12/31,-0.009212324,-0.007146931,93429.20313,43625106843
2023/7/22,29771.80273,7873300598,,2024/12/30,0.006891495,-0.011301257,92643.21094,56188003691
2023/7/23,30084.53906,9220145050,,2024/12/29,-0.005106529,-0.008503447,93530.22656,29635885267
2023/7/24,29176.91602,15395817395,,2024/12/28,-0.007571347,-0.005676694,95163.92969,24107436185
2023/7/25,29227.39063,10266772793,,2024/12/27,-0.005747126,-0.005208333,94164.85938,52419934565
2023/7/26,29354.97266,13497554655,,2024/12/26,-0.026763619,-0.007708152,95795.51563,47054980873
2023/7/27,29210.68945,10770779217,,2024/12/25,0.001510759,-0.004042072,99299.19531,33700394629
2023/7/28,29319.24609,11218474952,,2024/12/24,0.006224971,0.000142338,98676.09375,47114953674
2023/7/29,29356.91797,6481775959,,2024/12/23,-0.002735883,-0.000584371,94686.24219,65239002919
2023/7/30,29275.30859,8678454527,,2024/12/22,-0.007909284,-0.009910792,95104.9375,43147981314
2023/7/31,29230.11133,11656781982,,2024/12/21,0.009719381,-0.012256027,97224.72656,51765334294
2023/8/1,29675.73242,18272392391,,2024/12/20,-0.012704995,-0.013497945,97755.92969,1.05634E+11
2023/8/2,29151.95898,19212655598,,2024/12/19,-0.005317571,-0.006625053,97490.95313,97221662392
2023/8/3,29178.67969,12780357746,,2024/12/18,-0.005603374,-0.008063146,100041.5391,93865656139
2023/8/4,29074.0918,12036639988,,2024/12/17,-0.007145349,-0.006492446,106140.6016,68589364868
2023/8/5,29042.12695,6598366353,,2024/12/16,-0.003789382,-0.003196769,106029.7188,91020417816
2023/8/6,29041.85547,7269806994,,2024/12/15,-0.012932762,-0.003167647,104298.6953,51145914137
2023/8/7,29180.57813,13618163710,,2024/12/14,0.002177789,-0.003758107,101372.9688,40422968793
2023/8/8,29765.49219,17570561357,,2024/12/13,0.014428558,0.015437241,101459.2578,56894751583
2023/8/9,29561.49414,18379521213,,2024/12/12,-0.012158061,-0.004968231,100043,72073983533
2023/8/10,29429.5918,11865344789,,2024/12/11,-0.001064899,-0.004388627,101173.0313,85391409936
2023/8/11,29397.71484,10195168197,,2024/12/10,-0.012385884,-0.006962302,96675.42969,1.04824E+11
2023/8/12,29415.96484,6194358008,,2024/12/9,-0.003362538,-0.00527186,97432.71875,1.10676E+11
2023/8/13,29282.91406,7329897180,,2024/12/8,-0.012056386,-0.011428983,101236.0156,44125751925
2023/8/14,29408.44336,14013695304,,2024/12/7,-0.005294042,-0.001583138,99923.33594,44177510897
2023/8/15,29170.34766,12640195779,,2024/12/6,-0.009795498,-0.005718509,99920.71094,94534772658
2023/8/16,28701.7793,14949271904,,2024/12/5,0.003385859,-0.001331245,96593.57031,1.49219E+11
2023/8/17,26664.55078,31120851211,,2024/12/4,-0.002879533,-0.012434987,98768.53125,77199817112
2023/8/18,26049.55664,24026236529,,2024/12/3,-0.006530125,-0.008150347,96002.16406,67067810961
2023/8/19,26096.20508,10631443812,,2024/12/2,-0.003980033,-0.005763454,95865.30469,72680784305
2023/8/20,26189.58398,9036580420,,2024/12/1,-0.000851249,0.000961356,97279.78906,36590695296
2023/8/21,26124.14063,13371557893,,2024/11/30,0.002956167,0.002482842,96449.05469,31634227866
2023/8/22,26031.65625,14503820706,,2024/11/29,8.53E-05,-0.003679642,97461.52344,54968682476
2023/8/23,26431.64063,16985265785,,2024/11/28,-0.004539015,-0.003901535,95652.46875,52260008261
2023/8/24,26162.37305,12871532023,,2024/11/27,-0.003872391,-0.009419785,95962.53125,71133452438
2023/8/25,26047.66797,12406045118,,2024/11/26,0.001568769,-0.001469453,91985.32031,91656519855
2023/8/26,26008.46289,6034817316,,2024/11/25,-0.000769386,-0.002882523,93102.29688,80909462490
2023/8/27,26089.69336,6913768611,,2024/11/24,-0.003981043,-0.004747355,98013.82031,51712020623
2023/8/28,26106.15039,11002805166,,2024/11/23,-0.003075598,-0.001613874,97777.28125,44414644677
2023/8/29,27727.39258,29368391712,,2024/11/22,-0.005929352,-0.006012483,98997.66406,78473580551
2023/8/30,27297.26563,16343655235,,2024/11/21,-0.008360051,-0.005642391,98504.72656,1.06025E+11
2023/8/31,25931.47266,20181001451,,2024/11/20,-0.022540992,-0.007641687,94339.49219,71730956426
2023/9/1,25800.72461,17202862221,,2024/11/19,-0.006963386,-0.007204606,92343.78906,74521048295
2023/9/2,25868.79883,10100387473,,2024/11/18,0.011142238,-0.007465507,90542.64063,75535775084
2023/9/3,25969.56641,8962524523,,2024/11/17,-0.004166778,-0.005875445,89845.85156,46350159305
2023/9/4,25812.41602,10680635106,,2024/11/16,0.000278573,5.90E-05,90558.47656,44333192814
2023/9/5,25779.98242,11094740040,,2024/11/15,-0.014712594,-0.003215061,91066.00781,78243109518
2023/9/6,25753.23633,12752705327,,2024/11/14,-0.000601811,-0.005038195,87250.42969,87616705248
2023/9/7,26240.19531,11088307100,,2024/11/13,0.000480415,0.000114122,90584.16406,1.23559E+11
2023/9/8,25905.6543,10817356400,,2024/11/12,0.000932443,-0.000619235,87955.8125,1.33673E+11
2023/9/9,25895.67773,5481314132,,2024/11/11,0.000857313,0.000715211,88701.48438,1.17967E+11
2023/9/10,25832.22656,7899553047,,2024/11/10,-0.000756723,-0.006737643,80474.1875,82570594495
2023/9/11,25162.6543,14600006467,,2024/11/9,-0.018987342,-0.018987342,76778.86719,29009480361
2023/9/12,25833.34375,18657279324,,2024/11/8,-0.018696581,-0.018696581,76545.47656,55176858003
2023/9/13,26228.32422,13072077070,,2024/11/7,-0.022457134,-0.009823087,75904.85938,63467654989
2023/9/14,26539.67383,13811359124,,2024/11/6,-0.002198145,-0.008234804,75639.07813,1.18593E+11
