Date,Weighted_Sentiment,Total_Comments,Total_Upvotes,Avg_Upvotes,Max_Upvotes,Min_Upvotes,Simple_Avg_Sentiment
2024/11/30,0.002956167,421,6990,16.60332542,2126,0,0.002482842
2024/11/29,8.53E-05,178,1340,7.528089888,268,0,-0.003679642
2024/11/28,-0.004539015,257,3486,13.56420233,779,0,-0.003901535
2024/11/27,-0.003872391,167,2454,14.69461078,864,0,-0.009419785
2024/11/26,0.001568769,578,3966,6.861591696,796,0,-0.001469453
2024/11/25,-0.000769386,243,6004,24.70781893,1354,0,-0.002882523
2024/11/24,-0.003981043,349,1509,4.323782235,133,0,-0.004747355
2024/11/23,-0.003075598,1034,10795,10.44003868,1145,0,-0.001613874
2024/11/22,-0.005929352,713,14576,20.44319776,2918,0,-0.006012483
2024/11/21,-0.008360051,729,10171,13.95198903,546,0,-0.005642391
2024/11/20,-0.022540992,269,4059,15.08921933,1151,0,-0.007641687
2024/11/19,-0.006963386,102,202,1.980392157,25,0,-0.007204606
2024/11/18,0.011142238,137,857,6.255474453,139,0,-0.007465507
2024/11/17,-0.004166778,124,899,7.25,174,0,-0.005875445
2024/11/16,0.000278573,406,11579,28.51970443,1753,0,5.90E-05
2024/11/15,-0.014712594,736,5772,7.842391304,594,0,-0.003215061
2024/11/14,-0.000601811,873,9732,11.14776632,696,0,-0.005038195
2024/11/13,0.000480415,443,10795,24.36794582,1812,0,0.000114122
2024/11/12,0.000932443,533,6137,11.51407129,1395,0,-0.000619235
2024/11/11,0.000857313,45,57,1.266666667,5,0,0.000715211
2024/11/10,-0.000756723,207,3008,14.53140097,658,0,-0.006737643
2024/11/9,-0.018987342,2,2,1,1,1,-0.018987342
2024/11/8,-0.018696581,4,4,1,1,1,-0.018696581
2024/11/7,-0.022457134,84,171,2.035714286,19,0,-0.009823087
2024/11/6,-0.002198145,154,2056,13.35064935,492,0,-0.008234804
2024/11/5,-0.006816249,150,240,1.6,13,0,-0.005457478
2024/11/4,-0.008611438,319,3808,11.93730408,720,0,-0.008767349
2024/11/3,0.002490078,34,757,22.26470588,180,0,0.005230962
2024/11/2,-0.002839622,228,502,2.201754386,46,0,-0.004727793
2024/11/1,0.003284634,298,2577,8.647651007,262,0,-0.006026178
2024/10/31,-0.026163916,18,20,1.111111111,2,0,-0.025174052
2024/10/30,-0.005239189,359,4490,12.50696379,693,0,-0.005292899
2024/10/29,0.03031044,221,1024,4.633484163,160,0,-0.005917243
2024/10/28,-0.005606173,346,2868,8.289017341,463,0,-0.007168639
2024/10/27,-0.007173265,214,4110,19.20560748,530,0,-0.00581335
2024/10/26,-0.000348643,85,869,10.22352941,250,0,-0.003540337
2024/10/25,-0.015253578,8,10,1.25,2,1,-0.015005103
2024/10/24,-0.00454193,8,9,1.125,2,1,-0.0048258
2024/10/23,-0.009934881,113,163,1.442477876,18,0,-0.010768759
2024/10/22,0.010491479,127,1882,14.81889764,819,0,-0.003518092
2024/10/21,-0.006244483,240,1261,5.254166667,317,0,-0.013550639
2024/10/20,-0.041496848,188,3376,17.95744681,378,0,-0.018111579
2024/10/19,-0.009513099,6,7,1.166666667,2,1,-0.010305857
2024/10/18,0,2,1,0.5,1,0,0
2024/10/17,0.015733771,34,41,1.205882353,4,0,0.017798309
2024/10/16,-0.012261811,233,2767,11.87553648,469,0,-0.005870603
2024/10/15,-0.002364429,266,1349,5.071428571,216,0,-0.006369063
2024/10/14,9.19E-05,68,3346,49.20588235,1256,0,-0.001421337
2024/10/9,0,3,3,1,1,1,0
2024/10/8,-0.007246377,3,3,1,1,1,-0.007246377
2024/10/7,-0.001990553,9,10,1.111111111,2,1,-0.00210114
2024/10/6,0.004671323,28,29,1.035714286,2,1,0.00475474
2024/10/5,0.002315786,214,285,1.331775701,15,1,-0.00177308
2024/10/4,0.001524761,151,2052,13.58940397,727,1,-0.004092105
2024/10/2,0,1,1,1,1,1,0
2024/10/1,0,1,1,1,1,1,0
2024/9/30,0.004901961,11,13,1.181818182,2,1,0.005347594
2024/9/29,-0.014374175,78,101,1.294871795,10,0,-0.016747132
2024/9/28,0.01138327,88,666,7.568181818,190,0,-0.021521627
2024/9/26,-0.007407407,3,3,1,1,1,-0.007407407
2024/9/25,-0.007142857,2,2,1,1,1,-0.007142857
2024/9/24,-0.018639694,12,14,1.166666667,2,0,-0.017316017
2024/9/23,0.0040531,23,31,1.347826087,5,0,0.003553021
2024/9/22,-0.002019285,94,1744,18.55319149,413,0,-0.007651301
2024/9/21,-0.00907392,128,708,5.53125,192,0,-0.008436306
2024/9/20,-0.00279749,52,346,6.653846154,97,0,-0.005606235
2024/9/19,0.00256133,47,618,13.14893617,150,1,0.006341505
2024/9/12,0,1,1,1,1,1,0
2024/9/4,0,1,1,1,1,1,0
2024/8/27,-0.027232241,5,6,1.2,2,1,-0.025955466
2024/8/26,-0.008928571,2,2,1,1,1,-0.008928571
2024/8/25,0.021245421,6,7,1.166666667,2,1,0.024867725
2024/8/24,0.001868832,93,536,5.76344086,220,0,-0.001102803
2024/8/23,0.001788955,185,7315,39.54054054,2002,0,0.000378308
2024/8/17,-0.03030303,3,3,1,1,1,-0.03030303
2024/8/16,-0.001595891,41,63,1.536585366,8,0,-0.003164749
2024/8/15,-0.039943599,167,3268,19.56886228,864,0,-0.006418891
2024/7/24,0.066666667,1,1,1,1,1,0.066666667
2024/7/22,0,1,1,1,1,1,0
2024/7/10,-0.015377118,5,6,1.2,2,1,-0.01691483
2024/7/9,-0.003631347,12,12,1,1,1,-0.003631347
2024/7/8,-0.027777778,3,3,1,1,1,-0.027777778
2024/7/7,0.018849206,7,7,1,1,1,0.018849206
2024/7/6,-0.000936498,60,85,1.416666667,4,0,-0.000359671
2024/7/5,-0.001882598,161,1917,11.9068323,922,0,-0.007737516
2024/7/4,-0.002506067,140,2369,16.92142857,773,0,-0.005194343
2024/7/1,-0.020032762,3,4,1.333333333,2,1,-0.0169613
2024/6/30,-0.007246377,5,4,0.8,1,0,-0.006521739
2024/6/29,-0.020833333,2,2,1,1,1,-0.020833333
2024/6/28,-0.014305638,33,31,0.939393939,2,0,-0.013843019
2024/6/27,-0.009360124,412,7053,17.11893204,1047,0,-0.009055978
2024/6/22,-0.025,1,1,1,1,1,-0.025
2024/6/21,0,1,1,1,1,1,0
2024/6/18,0,1,2,2,2,2,0
2024/6/14,0,2,2,1,1,1,0
2024/6/11,0,3,4,1.333333333,2,1,0
2024/6/10,0,3,3,1,1,1,0
2024/6/9,-0.010752688,1,1,1,1,1,-0.010752688
2024/6/8,-0.020547945,2,2,1,1,1,-0.020547945
2024/6/7,-0.016684229,4,4,1,1,1,-0.016684229
2024/6/6,-0.027777778,3,3,1,1,1,-0.027777778
2024/6/5,0,2,2,1,1,1,0
2024/6/4,-0.017420904,31,39,1.258064516,5,1,-0.010762346
2024/6/3,-0.005025319,85,260,3.058823529,38,0,-0.003872753
2024/6/2,-0.002298646,52,2789,53.63461538,794,0,-0.003566109
2024/6/1,-0.002384246,67,439,6.552238806,73,0,0.000815665
2024/5/31,-0.001436541,86,1195,13.89534884,279,0,-0.001309397
2024/5/30,-0.006905563,86,166,1.930232558,19,0,-0.003717049
2024/5/29,-0.023384765,82,957,11.67073171,220,0,-0.013710092
2024/5/22,-0.00913242,4,5,1.25,2,1,-0.010273973
2024/5/21,-0.003586161,16,16,1,1,1,-0.003586161
2024/5/20,-0.007923122,172,497,2.889534884,73,0,-0.006186839
2024/5/19,-0.016595391,204,3335,16.34803922,646,0,-0.013603731
2024/5/18,-0.002797645,9,9,1,2,0,-0.002797645
2024/5/17,-0.009603422,85,198,2.329411765,31,0,-0.008668485
2024/5/16,-0.014772792,86,1747,20.31395349,549,0,-0.005631791
2024/5/13,-0.002994012,4,4,1,1,1,-0.002994012
2024/5/12,0,3,3,1,1,1,0
2024/5/11,0,1,1,1,1,1,0
2024/5/10,-0.010653502,16,17,1.0625,2,1,-0.010276197
2024/5/9,-0.003248456,201,460,2.288557214,75,0,-0.00578211
2024/5/8,-0.017776789,127,5614,44.20472441,2341,0,-0.004547016
2024/5/3,0,2,2,1,1,1,0
2024/5/1,-0.022222222,4,5,1.25,2,1,-0.016666667
2024/4/30,0.003373158,110,3305,30.04545455,1253,0,-0.004299153
2024/4/29,0,1,1,1,1,1,0
2024/4/28,0,1,2,2,2,2,0
2024/4/26,-0.006413869,10,11,1.1,2,1,-0.006734562
