Date,Avg_Sentiment,Comment_Count
2024-12-19,-0.006625053476170554,427
2024-12-20,-0.013497944703073706,553
2024-12-21,-0.012256027010474993,168
2024-12-22,-0.009910791513211305,54
2024-12-23,-0.0005843705515366231,418
2024-12-24,0.0001423382246326467,335
2024-12-25,-0.004042072355245928,227
2024-12-26,-0.007708151904757751,230
2024-12-27,-0.005208333333333333,16
2024-12-28,-0.005676693670532131,431
2024-12-29,-0.008503446846259565,161
2024-12-30,-0.011301257396786406,349
2024-12-31,-0.007146931081748983,95
2025-01-01,-0.006121314099884275,280
2025-01-02,-0.005641608472634991,253
2025-01-03,-0.0006424795594841902,125
2025-01-04,-0.014240799422047264,239
2025-01-05,-0.012973796563929683,360
2025-01-06,-0.005107549310917817,681
2025-01-07,-0.0015403316717144493,259
2025-01-08,-0.009331734375430523,68
2025-01-09,-0.006960462928097072,433
2025-01-10,-0.008695319198055195,391
2025-01-11,-0.00902876531740402,36
2025-01-12,0.0033798619228370586,58
2025-01-13,-0.003547984643221392,149
2025-01-14,-0.006422629147650623,87
2025-01-15,-0.004094768739340088,7
2025-01-16,0.017391304347826087,5
2025-01-18,-0.004130308959500892,102
2025-01-19,-0.008104302480982758,16
2025-01-20,-0.004217558332909127,214
2025-01-21,-0.006583473014673132,240
2025-01-22,-0.008010731653888947,271
2025-01-23,-0.013354344032047933,116
2025-01-24,-0.008975983334417476,465
2025-01-25,-0.009865445048713284,292
2025-01-26,-0.002355636266092878,210
2025-01-27,-0.013199370897207609,425
2025-01-28,-0.0010204806456934469,154
2025-01-29,-0.004509585933377727,534
2025-01-30,-0.005410568358341258,476
2025-01-31,-0.00478415953991423,92
2025-02-01,0.04754901960784314,4
2025-02-02,-0.0038278065078595344,338
2025-02-03,-0.005273633017324409,531
2025-02-04,-0.0030183338118913703,201
2025-02-05,-0.004096522385640472,236
2025-02-06,-0.002413810308615966,181
2025-02-07,-0.002020362395470228,534
2025-02-08,-0.002897680739822006,249
2025-02-09,-0.0037776759143741266,148
2025-02-10,-0.009704062618696009,143
2025-02-11,-0.009092878391004046,43
2025-02-12,-0.004878048780487805,5
2025-02-13,0.013015873015873014,7
2025-02-14,0.0,1
2025-02-15,0.000748719984418851,42
2025-02-16,-0.006698104917718631,220
2025-02-17,-0.005158703769803377,396
2025-02-18,0.0018576115557859916,114
2025-02-19,-0.00429226505036997,140
2025-02-20,-0.001685289746160426,168
2025-02-21,-0.0007794701096936284,1041
2025-02-22,-0.005641815683079758,262
2025-02-23,-0.007251617359959393,689
2025-02-24,-0.005820805524866449,290
2025-02-25,-0.008800129163392909,332
2025-02-26,-0.008155658420972978,37
2025-02-27,0.005685607576363879,12
2025-02-28,0.003592448588627321,73
2025-03-01,-0.003255665633156173,75
2025-03-02,-0.01113824199745748,232
2025-03-03,-0.000924364067265375,578
2025-03-04,0.009613189219536657,228
2025-03-05,-0.005797395429912212,91
2025-03-06,-0.00679344002167773,78
2025-03-07,-0.006603830677794267,1167
2025-03-08,-0.012500289354775367,333
2025-03-09,-0.0016037404886133557,255
2025-03-10,-0.0035222536529193626,383
2025-03-11,-0.007033247833671536,45
2025-03-12,-0.0007002356840026631,320
2025-03-13,0.007991830673817741,28
2025-03-14,-0.01404532426660672,8
2025-03-15,0.03571428571428571,2
2025-03-16,-0.006311210187219414,211
2025-03-17,-0.01764913921993266,125
2025-03-18,-0.010929802955665023,14
2025-03-19,0.0038314176245210726,6
2025-03-20,-0.002797703280795068,9
2025-03-21,-0.004846737201194447,319
2025-03-22,-0.009162922125607206,202
2025-03-23,-0.007241950156638585,226
2025-03-24,0.009237053940536973,194
2025-03-25,-0.001730661475922861,104
2025-03-26,0.0009984030611884384,119
2025-03-27,-0.004363105386048892,75
2025-03-28,6.85169278031858e-05,149
2025-03-29,-0.0020887900616815124,162
2025-03-30,-0.0018500484995095012,273
2025-03-31,-0.013586108977665892,415
2025-04-01,-0.020183979697009715,114
2025-04-02,-0.011285949798193928,760
2025-04-03,-0.014284139740428742,133
2025-04-04,-0.0031305292118946376,15
2025-04-05,-0.006676419583520644,143
2025-04-06,-0.03226515151515151,16
2025-04-07,0.0021155390139039965,181
2025-04-08,-0.03151376781513768,11
2025-04-09,-0.021739130434782608,2
2025-04-10,-0.012177438513963785,164
2025-04-11,-0.006831605453165258,227
