date,price,vol_spot_24h,market_cap
2019-01-20,6.52898776,32231147.203492,943088563.6579489
2019-01-21,6.40000263,32852311.390266,924843287.1309272
2019-01-22,6.48816136,34108855.493693,937294752.6514072
2019-01-23,6.44900172,33172193.60738,930093998.4099444
2019-01-24,6.44396562,36033504.693803,926816549.631004
2019-01-25,6.43136887,25112669.422096,929515668.5754209
2019-01-26,6.67662048,41426440.472985,964393101.0744952
2019-01-27,6.93839187,45776064.186308,1002204225.2074252
2019-01-28,7.02417789,56051898.836743,1018634228.0052148
2019-01-29,6.15782794,67014938.624937,891822520.3310019
2019-01-30,6.26147246,56355880.386612,904087868.8040836
2019-01-31,6.13549474,41083004.98595,886231112.9762447
2019-02-01,6.2295352,51789005.946733,899814627.6501918
2019-02-02,6.52588522,55173635.475996,943085781.0584372
2019-02-03,6.88585728,63752961.364137,994615955.6096878
2019-02-04,6.72831946,70050588.979003,981881034.1574684
2019-02-05,7.05656956,78011771.937442,1019274201.1476768
2019-02-06,7.7034857,102929718.596125,1117271761.289444
2019-02-07,7.99889295,127535275.817974,1154130751.238883
2019-02-08,7.74749163,92044067.915109,1119073265.7409804
2019-02-09,8.57534676,103365663.361756,1238651393.802812
2019-02-10,8.83246561,106057509.079515,1275790488.8612866
2019-02-11,9.00468425,138758410.575219,1292369337.515565
2019-02-12,9.3995784,145656086.834977,1357706132.2269003
2019-02-13,9.29019706,116196069.719474,1350152715.9607162
2019-02-14,8.84529532,104438607.503346,1277643654.6726382
2019-02-15,8.69170048,81113577.378889,1251539499.556175
2019-02-16,9.26080647,83134182.42015,1337661455.9809282
2019-02-17,9.08271492,76132713.200687,1313189982.36053
2019-02-18,9.20825506,63513820.224686,1328906712.420534
2019-02-19,9.55666598,89244306.454737,1380396380.2046032
2019-02-20,10.48397152,114786491.520943,1514339453.2709005
2019-02-21,11.0893362,131715216.78474,1601780326.1776874
2019-02-22,10.4165498,95826113.222403,1504486906.965667
2019-02-23,10.77038046,91206857.99698,1555709306.2412963
2019-02-24,10.64861151,90622220.431832,1538120596.8900266
2019-02-25,10.08682233,107459433.439985,1464562398.035241
2019-02-26,9.68886729,153069825.64259,1399491973.856428
2019-02-27,9.42130829,83462864.345172,1360844868.4427445
2019-02-28,9.81908087,85185303.45695,1420171312.719949
2019-03-01,10.25416073,117695463.6835,1488164310.6686883
2019-03-02,11.25443305,116289675.493588,1623998558.2720912
2019-03-03,11.67509894,110990177.810738,1686382111.767269
2019-03-04,11.31026637,98128998.383038,1632056854.7718768
2019-03-05,11.42268401,72915267.096263,1649930184.4379025
2019-03-06,13.63237836,241795890.798124,1966673746.186956
2019-03-07,14.48480553,174878390.830289,2081209809.0188968
2019-03-08,14.91460799,255895242.322377,2153066820.5069118
2019-03-09,14.18260423,229444554.523872,2039124309.4495635
2019-03-10,14.48600918,154269493.585318,2092314032.8495853
2019-03-11,14.39201458,134004302.359189,2078720950.3947413
2019-03-12,14.32642353,168782322.980027,2065952584.6704817
2019-03-13,15.20155288,185520197.228298,2213310829.99634
2019-03-14,14.96429865,149568660.370649,2162875299.7693634
2019-03-15,14.84706882,146417977.046935,2148221153.1995487
2019-03-16,14.88156867,142555940.522039,2149727573.4294686
2019-03-17,15.99002735,146179693.73796,2310174527.6216125
2019-03-18,15.59759653,124009261.359047,2253087911.698374
2019-03-19,15.51800708,113662733.607874,2241879577.731644
