date,price,vol_spot_24h,market_cap
2021-08-01,10.85642355,323793490.932355,4516650415.765884
2021-07-31,10.85745771,426563348.020201,4513488468.318356
2021-07-30,11.06050474,533003302.530435,4638673754.863307
2021-07-29,11.04718327,579312457.104365,4616694295.865287
2021-07-28,9.45395995,445383211.70908,3912511595.412231
2021-07-27,8.49343792,517789048.774837,3553906428.3156333
2021-07-26,8.26739846,269547387.138155,3430392469.9074078
2021-07-25,8.43805305,335147600.531762,3526679555.4288936
2021-07-24,7.75851616,278623116.50104,3238323054.292674
2021-07-23,7.36902681,236914173.030359,3084447972.7830667
2021-07-22,6.66560453,194493638.842798,2793643695.4418087
2021-07-21,5.90364859,127183168.488878,2472897642.3418283
2021-07-20,6.04325609,106024785.254292,2535738714.8611207
2021-07-19,6.61153662,107905153.487145,2777631030.8882093
2021-07-18,6.49315422,143832754.261054,2728162972.8959074
2021-07-17,6.54791713,197455874.304933,2734616292.6560545
2021-07-16,6.60597949,172526526.426565,2785238860.623734
2021-07-15,6.93752869,323754442.199533,2916261678.2939897
2021-07-14,7.09692502,182789211.000475,2989291617.783202
2021-07-13,7.94468877,215943949.857422,3328500794.470657
2021-07-12,8.42733858,303061098.895872,3533368507.483324
2021-07-11,7.94188519,317618274.028697,3332636495.2314954
2021-07-10,8.17037969,466777476.660034,3429843177.20738
2021-07-09,6.71498665,252754155.604083,2816371026.9522204
2021-07-08,7.12487048,376457390.185323,2976582874.9187374
2021-07-07,6.48060367,200970436.796431,2686120805.7213264
2021-07-06,6.14984697,113615885.875906,2577402912.893393
2021-07-05,5.96589158,96238883.696108,2497552229.529444
2021-07-04,5.81212204,61225580.068385,2432287174.2751875
2021-07-03,5.74021471,91010759.364815,2396496512.032218
2021-07-02,5.92575449,142549434.882406,2473586475.8207736
2021-07-01,6.54452806,197537313.077821,2737358845.0591674
2021-06-30,6.01009241,156786018.105047,2515310669.5203004
2021-06-29,5.54234268,97084412.020119,2318581423.2955046
2021-06-28,5.41729166,55572278.969035,2264389659.707832
2021-06-27,5.19059249,85929225.30629,2167279250.4193845
2021-06-26,5.15870972,122239205.239017,2159826593.7399926
2021-06-25,5.43392024,126930605.804514,2267223573.963604
2021-06-24,5.19777672,207372059.471887,2170843178.0589185
2021-06-23,4.66750964,227999793.312986,1939082930.9262164
2021-06-22,4.84232238,164145346.577986,2069831673.101895
2021-06-21,5.86750909,94534560.098475,2444889381.9556646
