date,open,high,low,close,volume
2024-08-11,2610.38,2720.0,2539.86,2555.58,54293.38934167
2024-08-12,2555.09,2750.0,2509.58,2723.0,117387.83172402
2024-08-13,2723.23,2739.0,2611.59,2703.49,87846.22008954
2024-08-14,2703.49,2782.61,2633.76,2661.67,127821.69398089
2024-08-15,2661.98,2675.79,2516.07,2570.5,112161.44239141
2024-08-16,2570.22,2631.06,2551.29,2593.75,73034.64702326
2024-08-17,2593.75,2627.67,2588.17,2614.64,16028.49990746
2024-08-18,2614.64,2687.92,2594.34,2612.68,43718.56501864
2024-08-19,2612.33,2648.71,2563.98,2637.15,54465.58022979
2024-08-20,2637.63,2697.11,2555.26,2573.04,83115.06804761
2024-08-21,2572.69,2664.7,2536.49,2631.14,68713.01543658
2024-08-22,2631.18,2645.42,2584.59,2623.3,45949.34305893
2024-08-23,2623.26,2800.89,2621.38,2764.73,97692.03219144
2024-08-24,2764.89,2820.86,2732.75,2769.0,52952.63243867
2024-08-25,2768.95,2793.09,2734.52,2747.57,28841.52308192
2024-08-26,2747.06,2763.51,2667.25,2680.77,60514.38739416
2024-08-27,2680.75,2700.29,2393.38,2458.22,110269.50067621
2024-08-28,2457.84,2555.23,2418.63,2528.51,115962.75554378
2024-08-29,2528.76,2597.0,2503.09,2527.71,78636.42412331
2024-08-30,2527.76,2551.26,2430.25,2525.74,85657.73143674
2024-08-31,2525.7,2533.92,2492.03,2512.62,14398.21727088
2024-09-01,2512.49,2516.27,2399.2,2425.9,40597.47657667
2024-09-02,2425.78,2564.02,2423.56,2537.81,52519.15338901
2024-09-03,2537.99,2553.75,2410.52,2424.18,59281.30494802
2024-09-04,2424.16,2490.21,2307.12,2450.46,112229.09718802
2024-09-05,2450.26,2465.98,2347.19,2367.8,73779.98448771
2024-09-06,2367.5,2409.19,2150.0,2224.46,158686.218366
2024-09-07,2224.55,2311.27,2221.01,2272.88,48605.25284293
2024-09-08,2273.03,2334.03,2240.82,2297.47,48917.56725194
2024-09-09,2297.35,2381.46,2273.0,2360.1,91965.44801791
2024-09-10,2359.71,2399.99,2320.91,2388.26,63305.03364559
2024-09-11,2388.71,2389.58,2276.66,2340.54,83110.11059986
2024-09-12,2340.24,2392.13,2314.76,2361.63,67554.09932317
2024-09-13,2361.75,2466.49,2336.57,2440.96,84983.24145206
2024-09-14,2440.99,2442.56,2378.8,2418.19,29335.9983637
2024-09-15,2418.3,2430.91,2285.0,2316.37,48995.2967581
2024-09-16,2316.01,2335.18,2251.99,2295.21,83080.821853
2024-09-17,2295.35,2394.0,2263.05,2342.1,87006.28326236
2024-09-18,2342.09,2376.26,2277.05,2374.59,95717.21636064
2024-09-19,2374.78,2495.27,2372.73,2465.84,110765.46794849
2024-09-20,2465.79,2573.26,2437.49,2562.02,95098.81621245
2024-09-21,2562.1,2623.26,2528.75,2613.16,45981.75244353
2024-09-22,2612.77,2632.92,2525.0,2580.92,40733.97945098
2024-09-23,2580.93,2704.62,2539.64,2646.72,103739.53519625
