Date,Price,Sentiment,Sentiment_Score,Action,Cash,Holdings,Short_Holdings,Portfolio_Value,Crypto_Return,Portfolio_Return
2024-06-08,69336.67531563,Negative,-1.0,Sell Long,40158.05680829736,0.0,0.0,40158.05680829736,14.209524784548085,301.5805680829736
2024-06-09,69635.86846124,Positive,6.0,Buy Long,0.0,0.5766863786677656,0.0,40158.05680829736,14.702347764931304,301.5805680829736
2024-06-10,69464.19919817,Positive,1.0,Hold,0.0,0.5766863786677656,0.0,40059.05748264896,14.419578727245435,300.5905748264896
2024-06-11,67344.60745403,Positive,114.0,Hold,0.0,0.5766863786677656,0.0,38836.71779546678,10.928243662021872,288.3671779546678
2024-06-12,68226.57691698,Positive,25.0,Hold,0.0,0.5766863786677656,0.0,39345.337571150965,12.38100026997097,293.45337571150964
2024-06-13,66751.39854364,Positive,41.0,Hold,0.0,0.5766863786677656,0.0,38494.622297140515,9.951125745058093,284.9462229714052
2024-06-14,66058.40586295,Negative,-9.0,Sell Long,38094.98285767013,0.0,0.0,38094.98285767013,8.809646659415629,280.9498285767013
2024-06-15,66225.57582335,Positive,1.0,Buy Long,0.0,0.5752306776355502,0.0,38094.98285767013,9.085004565583224,280.9498285767013
2024-06-16,66632.78666799,Neutral,0.0,Hold,0.0,0.5752306776355502,0.0,38329.22302777295,9.755751422736989,283.29223027772946
2024-06-17,66492.25506339,Positive,1.0,Hold,0.0,0.5752306776355502,0.0,38248.38493762967,9.524271506725514,282.4838493762967
2024-06-18,65106.53780204,Neutral,0.0,Hold,0.0,0.5752306776355502,0.0,37451.277858372036,7.2417549426690835,274.5127785837203
2024-06-19,64962.04178659,Neutral,0.0,Hold,0.0,0.5752306776355502,0.0,37368.159317489095,7.003744954698328,273.68159317489096
2024-06-20,64865.9452675,Positive,13.0,Hold,0.0,0.5752306776355502,0.0,37312.88165169454,6.845457328002093,273.1288165169454
2024-06-21,64068.56121559,Negative,-27.0,Sell Long,36854.20188317857,0.0,0.0,36854.20188317857,5.532027556169792,268.5420188317857
2024-06-22,64221.86118929,Positive,4.0,Buy Long,0.0,0.5738575805916473,0.0,36854.20188317857,5.784539189674866,268.5420188317857
2024-06-23,63270.14340557,Positive,2.0,Hold,0.0,0.5738575805916473,0.0,36308.05141840697,4.216895005513035,263.0805141840697
2024-06-24,60325.6100489,Positive,368.0,Hold,0.0,0.5738575805916473,0.0,34618.308630376916,-0.6332619113953083,246.18308630376916
2024-06-25,61771.47689359,Negative,-77.0,Sell Long,35448.0302797284,0.0,0.0,35448.0302797284,1.7483314442433389,254.48030279728405
2024-06-26,60788.66076039,Positive,13.0,Buy Long,0.0,0.5831355689748375,0.0,35448.0302797284,0.12946288712842316,254.48030279728405
2024-06-27,61590.33936327,Positive,1695.0,Hold,0.0,0.5831355689748375,0.0,35915.517587953786,1.4499665289323498,259.15517587953786
2024-06-28,60324.95773564,Negative,-4.0,Sell Long,35177.628552555456,0.0,0.0,35177.628552555456,-0.6343363844227026,251.77628552555458
2024-06-29,60863.75719769,Positive,16.0,Buy Long,0.0,0.5779733321144783,0.0,35177.628552555456,0.2531597384412883,251.77628552555458
2024-06-30,62723.74563295,Positive,1.0,Hold,0.0,0.5779733321144783,0.0,36252.652266177065,3.3168831478605685,262.5265226617706
2024-07-01,62860.2776865,Positive,1.0,Hold,0.0,0.5779733321144783,0.0,36331.56415210779,3.5417751099112627,263.3156415210779
2024-07-02,62015.89414981,Neutral,0.0,Hold,0.0,0.5779733321144783,0.0,35843.53298582447,2.1509290385894464,258.43532985824476
2024-07-03,60192.68075594,Neutral,0.0,Hold,0.0,0.5779733321144783,0.0,34789.76426541367,-0.8522195021623675,247.89764265413675
2024-07-04,57101.68300361,Negative,-72.0,Sell Long,33003.24999494114,0.0,0.0,33003.24999494114,-5.9436286704951975,230.03249994941143
2024-07-05,56716.17969868,Positive,282.0,Buy Long,0.0,0.5819018518221751,0.0,33003.24999494114,-6.578619446423035,230.03249994941143
2024-07-06,58211.70684888,Positive,490.0,Hold,0.0,0.5819018518221751,0.0,33873.50001309287,-4.115226958259862,238.73500013092865
2024-07-07,56017.82113735,Positive,151.0,Hold,0.0,0.5819018518221751,0.0,32596.87385486735,-7.728937067734479,225.96873854867349
2024-07-08,56656.48689152,Positive,23.0,Hold,0.0,0.5819018518221751,0.0,32968.514639914276,-6.676943848447864,229.68514639914278
2024-07-09,58010.22333474,Positive,124.0,Hold,0.0,0.5819018518221751,0.0,33756.256383103166,-4.447105236200058,237.56256383103164
