Date,Price,Volume,Market_cap
2024-10-20 00:00:00 UTC+0,0.00009315,13393099.152868,531874662.83702440
2024-10-19 00:00:00 UTC+0,0.00009105,8937886.920895,519930599.48285470
2024-10-18 00:00:00 UTC+0,0.00009108,9966921.517357,519867682.27871996
2024-10-17 00:00:00 UTC+0,0.00008936,11161914.288234,510050076.60383740
2024-10-16 00:00:00 UTC+0,0.00009117,15577869.801243,520386812.48433740
2024-10-15 00:00:00 UTC+0,0.00008996,15896280.762196,513515705.97648250
2024-10-14 00:00:00 UTC+0,0.00009181,15078664.306694,524228487.84216493
2024-10-13 00:00:00 UTC+0,0.00008757,8480416.540787,500064036.24475574
2024-10-12 00:00:00 UTC+0,0.00008894,11165425.951488,507878597.13454460
2024-10-11 00:00:00 UTC+0,0.00008705,9451973.166847,497101427.17833870
2024-10-10 00:00:00 UTC+0,0.00008437,14843826.610035,481768838.60495687
2024-10-09 00:00:00 UTC+0,0.00008332,9860555.181307,475708136.33076820
2024-10-08 00:00:00 UTC+0,0.00008599,13733088.704454,491040490.84075270
2024-10-07 00:00:00 UTC+0,0.00008905,24914380.930807,508602706.39911574
2024-10-06 00:00:00 UTC+0,0.00008987,13807989.764118,513344841.70449370
2024-10-05 00:00:00 UTC+0,0.00008953,18497323.058570,511432278.50872060
2024-10-04 00:00:00 UTC+0,0.00008730,16818612.238124,498660989.03659743
2024-10-03 00:00:00 UTC+0,0.00008270,15539262.227675,472383604.06396830
2024-10-02 00:00:00 UTC+0,0.00008572,23929077.780996,489672280.89292490
2024-10-01 00:00:00 UTC+0,0.00008822,47534467.834105,503974456.64988697
2024-09-30 00:00:00 UTC+0,0.00009153,30972440.167339,522877211.89212203
2024-09-29 00:00:00 UTC+0,0.00009906,96170274.681614,565764422.19816170
2024-09-28 00:00:00 UTC+0,0.00009104,20967122.919588,519900810.89804700
2024-09-27 00:00:00 UTC+0,0.00009386,21566820.526767,535927133.65940510
2024-09-26 00:00:00 UTC+0,0.00008990,21836744.616298,513223601.64807755
2024-09-25 00:00:00 UTC+0,0.00008656,17861148.128961,493773824.18130040
2024-09-24 00:00:00 UTC+0,0.00008770,12675762.485544,500175078.74497730
