date,price,sentiment,sentiment_score
2025-01-03,98126.92490332,Positive,1209.0
2025-01-04,98363.31124378,Positive,976.0
2025-01-05,98452.14991354,Positive,1514.0
2025-01-06,102236.36672536,Negative,-70.0
2025-01-07,96916.86998514,Positive,1336.0
2025-01-08,95110.32771718,Positive,255.0
2025-01-09,92494.43879367,Positive,1049.0
2025-01-10,94741.4381482,Positive,479.0
2025-01-11,94600.24826226,Negative,-186.0
2025-01-12,94453.33266545,Positive,78.0
2025-01-13,94485.19602869,Negative,-184.0
2025-01-14,96562.57192236,Negative,-1025.0
2025-01-15,100368.46641343,Negative,-1880.0
2025-01-16,100003.89536646,Positive,400.0
2025-01-17,104283.15804826,Positive,110.0
2025-01-18,104384.95325928,Negative,-66.0
2025-01-19,101159.5939798,Negative,-100.0
2025-01-20,102312.24122486,Positive,475.0
2025-01-21,106170.01720868,Negative,-35.0
2025-01-22,103724.83841918,Positive,608.0
2025-01-23,104041.27140649,Positive,336.0
2025-01-24,104846.6656461,Positive,156.0
2025-01-25,104842.9636934,Positive,784.0
2025-01-26,102713.71351727,Positive,260.0
2025-01-27,102147.69430122,Negative,-491.0
2025-01-28,101256.74152476,Negative,-1209.0
2025-01-29,103696.456272,Positive,2221.0
2025-01-30,104734.28591441,Positive,2206.0
2025-01-31,102325.87313056,Negative,-125.0
2025-02-01,100702.28292271,Positive,214.0
2025-02-02,97691.08986887,Positive,139.0
2025-02-03,101534.54575276,Positive,215.0
2025-02-04,97981.18478814,Positive,1577.0
2025-02-05,96589.4608892,Positive,134.0
2025-02-06,96535.82907712,Negative,-196.0
2025-02-07,96535.47144474,Negative,-286.0
2025-02-08,96573.03722151,Positive,65.0
2025-02-09,96465.80339917,Negative,-71.0
2025-02-10,97427.30928525,Positive,48.0
2025-02-11,95774.54070415,Positive,101.0
2025-02-12,97781.50472769,Positive,262.0
2025-02-13,96620.58899249,Positive,48.0
2025-02-14,97510.95969319,Positive,65.0
2025-02-15,97624.75787421,Positive,135.0
2025-02-16,96136.8873802,Negative,-677.0
2025-02-17,95760.07669503,Positive,395.0
2025-02-18,95531.74097279,Positive,1736.0
2025-02-19,96627.67067841,Positive,356.0
2025-02-20,98352.82356801,Positive,40.0
2025-02-21,96106.02666919,Positive,51.0
2025-02-22,96579.54814836,Negative,-32.0
2025-02-23,96301.32597495,Negative,-240.0
